index,City,Date,Card Type,Category,Gender,Amount
0,Delhi,2014-10-29,Gold,Bills,Female,82475
1,Greater Mumbai,2014-08-22,Platinum,Bills,Female,32555
2,Bengaluru,2014-08-27,Silver,Bills,Female,101738
3,Greater Mumbai,2014-04-12,Signature,Bills,Female,123424
4,Bengaluru,2015-05-05,Gold,Bills,Female,171574
5,Delhi,2014-09-08,Silver,Bills,Female,100036
6,Delhi,2015-02-24,Gold,Bills,Female,143250
7,Greater Mumbai,2014-06-26,Platinum,Bills,Female,150980
8,Delhi,2014-03-28,Silver,Bills,Female,192247
9,Delhi,2014-09-01,Platinum,Bills,Female,67932
10,Delhi,2014-06-22,Platinum,Bills,Female,280061
11,Greater Mumbai,2013-12-07,Signature,Bills,Female,278036
12,Greater Mumbai,2014-08-07,Gold,Bills,Female,19226
13,Delhi,2014-04-27,Signature,Bills,Female,254359
14,Greater Mumbai,2014-08-15,Signature,Bills,Female,302834
15,Greater Mumbai,2014-11-28,Platinum,Bills,Female,647116
16,Greater Mumbai,2014-06-14,Signature,Bills,Female,421878
17,Greater Mumbai,2015-03-30,Gold,Bills,Female,986379
18,Greater Mumbai,2014-03-15,Platinum,Bills,Female,213047
19,Greater Mumbai,2013-11-09,Platinum,Bills,Female,735566
20,Delhi,2014-04-04,Signature,Bills,Female,366102
21,Delhi,2014-07-01,Signature,Bills,Female,809623
22,Greater Mumbai,2015-03-27,Silver,Bills,Female,467014
23,Ahmedabad,2013-10-11,Gold,Bills,Female,668568
24,Ahmedabad,2014-03-26,Gold,Bills,Female,339112
25,Delhi,2014-09-27,Silver,Bills,Female,622170
26,Bengaluru,2014-03-23,Platinum,Bills,Female,434427
27,Greater Mumbai,2014-05-17,Signature,Bills,Female,655846
28,Bengaluru,2015-01-18,Platinum,Bills,Female,987935
29,Delhi,2015-04-18,Gold,Bills,Female,702774
30,Bengaluru,2014-07-31,Signature,Bills,Female,225392
31,Greater Mumbai,2015-02-11,Gold,Bills,Female,296573
32,Ahmedabad,2013-11-24,Platinum,Bills,Female,227702
33,Ahmedabad,2014-11-08,Gold,Bills,Female,864090
34,Ahmedabad,2014-09-06,Signature,Bills,Female,440605
35,Ahmedabad,2015-03-24,Platinum,Bills,Female,954660
36,Ahmedabad,2014-01-01,Signature,Bills,Female,255577
37,Ahmedabad,2014-07-12,Silver,Bills,Female,337352
38,Ahmedabad,2014-02-04,Platinum,Bills,Female,660244
39,Delhi,2015-02-03,Silver,Bills,Female,401351
40,Delhi,2013-10-27,Platinum,Bills,Female,678842
41,Delhi,2014-05-11,Gold,Bills,Female,478861
42,Bengaluru,2014-11-10,Platinum,Bills,Female,804938
43,Delhi,2015-01-30,Silver,Bills,Female,888341
44,Bengaluru,2014-04-19,Platinum,Bills,Female,262414
45,Bengaluru,2014-09-08,Gold,Bills,Female,249353
46,Ahmedabad,2013-12-10,Gold,Bills,Female,892016
47,Ahmedabad,2013-11-04,Platinum,Bills,Female,313626
48,Greater Mumbai,2014-06-01,Gold,Bills,Female,314366
49,Greater Mumbai,2014-04-27,Signature,Bills,Female,551340
50,Delhi,2013-10-04,Signature,Bills,Female,735037
51,Greater Mumbai,2014-12-31,Platinum,Bills,Female,574023
52,Ahmedabad,2013-12-21,Signature,Bills,Female,402300
53,Delhi,2013-12-07,Signature,Bills,Female,733125
54,Greater Mumbai,2014-02-07,Signature,Bills,Female,545977
55,Bengaluru,2015-05-13,Silver,Bills,Female,371572
56,Ahmedabad,2015-01-28,Signature,Bills,Female,326283
57,Delhi,2014-12-09,Platinum,Bills,Female,279051
58,Delhi,2013-10-08,Platinum,Bills,Female,900101
59,Ahmedabad,2014-04-24,Silver,Bills,Female,545286
60,Delhi,2015-01-13,Platinum,Bills,Female,722587
61,Bengaluru,2014-03-14,Platinum,Bills,Female,411062
62,Delhi,2014-02-27,Platinum,Bills,Female,660910
63,Greater Mumbai,2013-10-29,Signature,Bills,Female,557370
64,Greater Mumbai,2014-06-22,Platinum,Bills,Female,549794
65,Delhi,2014-01-23,Platinum,Bills,Female,340133
66,Bengaluru,2013-11-10,Gold,Bills,Female,265417
67,Greater Mumbai,2013-12-13,Platinum,Bills,Female,358185
68,Greater Mumbai,2014-03-22,Gold,Bills,Female,991685
69,Greater Mumbai,2015-01-13,Gold,Bills,Female,533762
70,Greater Mumbai,2014-05-08,Gold,Bills,Female,829742
71,Delhi,2014-02-18,Silver,Bills,Female,441527
